Species,Order,Family,Genus,Species.1,BDT.C,UDT.C,EADDC,EEDDC,OS,ET,LT,TL1,TL2,TL3,TL4,TL5,TP,TMA,TOA,DE,DLT,D1,D2,D3,D4,D5,DP,DMA,DOA,DBE,DBLT,DB1,DB2,DB3,DB4,DB5,DBP,DBMA,DBOA,pest,aquatic,pupal,parasitoid,Author,Year,Title,Journal,Vol,Pages,Location,lon,lat,quality,index
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,11.7,NA,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Zwaan B.J., Bijlsma R., Hoekstra R.F.",1992,On the developmental theory of ageing. II. The effect of developmental temperature on longevity in relation to adult body size in D. melangaster.,Heredity,68,123-130,"Soestduinen, Netherlands",5.291266,52.13263,1,246
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.8,NA,144.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Barnes P.T., Holland B., Courreges V.",1984,"Genotype-by-environment and epistatic interactions in Drosophila melanogaster: the effects of Gpdh allozymes, genetic background and rearing temeperature on larval developmental time and viability.",Genetics,122,859-868,"Sydney, Australia",150.6552,-34.0321,1,237
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.9,NA,141.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Barnes P.T., Holland B., Courreges V.",1984,"Genotype-by-environment and epistatic interactions in Drosophila melanogaster: the effects of Gpdh allozymes, genetic background and rearing temeperature on larval developmental time and viability.",Genetics,122,859-868,"Sydney, Australia",150.6552,-34.0321,1,237
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,10,NA,141.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Barnes P.T., Holland B., Courreges V.",1984,"Genotype-by-environment and epistatic interactions in Drosophila melanogaster: the effects of Gpdh allozymes, genetic background and rearing temeperature on larval developmental time and viability.",Genetics,122,859-868,"Sydney, Australia",150.6552,-34.0321,1,237
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,8.2,NA,177.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,McKenzie J.A.,1978,"The effect of developmental temperature on population flexibility in Drosophila melanogaster and D. simulans (Dipl., Drosophilidae).",Australian Journal of Zoology,26,105-112,"Tahbilk, Australia",144.7852,-37.4713,1,242
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,11.9,NA,140.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Hertlein, M.B.",1986,"Seasonal development of Leptopilina boulardi (Hymenoptera: Eucoilidae) and its hosts, Drosophila melanogaster and D. simulans (Diptera: Drosophilidae) in California.",Environmental Entomology,15(4),859-866,"Winters, California",-119.418,36.77826,1,240
Drosophila mercatorum,Diptera,Drosophilidae,Drosophila,mercatorum,3.1,NA,289.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Ikeda H., Saito M.",1983,Effects of circadian eclosion rhythm and temperature on estimating the relative rate of development in Drosophila mercatorum.,Zool.Magaz.,92,174-179,"Tokyo, Japan",139.73199,35.70903,1,247
Drosophila mercatorum,Diptera,Drosophilidae,Drosophila,mercatorum,3.2,NA,273.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Ikeda H., Saito M.",1983,Effects of circadian eclosion rhythm and temperature on estimating the relative rate of development in Drosophila mercatorum.,Zool.Magaz.,92,174-179,"Tokyo, Japan",139.73199,35.70903,1,247
Drosophila mercatorum,Diptera,Drosophilidae,Drosophila,mercatorum,4.2,NA,256.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Ikeda H., Saito M.",1983,Effects of circadian eclosion rhythm and temperature on estimating the relative rate of development in Drosophila mercatorum.,Zool.Magaz.,92,174-179,"Tokyo, Japan",139.73199,35.70903,1,247
Drosophila prostipennis,Diptera,Drosophilidae,Drosophila,prostipennis,8,NA,151.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Kimura M.T., Ohtsu T., Yoshida T., Awasaki T., Liu F.J.",1994,Climatic adaptations and distributions in the Drosophila takahashii species subgroup (Diptera: Drosophilidae).,J. Nat. Hist.,28,401 - 409,"Taipei, Taiwan",139.7479,36.20598,1,248
Drosophila rufa,Diptera,Drosophilidae,Drosophila,rufa,7.7,NA,250.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Kimura, M.T.",1988,Adaptations to temperate climates and evolution of over- wintering strategies in the Drosophila melanogaster species group.,Evolution,42,1288-1297,"Osaka, Japan",135.510913,34.69001745,1,249
Drosophila simulans,Diptera,Drosophilidae,Drosophila,simulans,10.02,NA,131.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Petavy, G., David, J.R., Gilbert, P. and Moreteau, B.",2001,Viability and rate of development at different temperatures in Drosophila: a comparison of constant and alternating thermal regimes.,J. Thermal. Biol.,26,29-39,"Bordeaux, France",-0.57722,44.83572,1,253
Drosophila simulans,Diptera,Drosophilidae,Drosophila,simulans,9.99,NA,131.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Petavy, G., David, J.R., Gilbert, P. and Moreteau, B.",2001,Viability and rate of development at different temperatures in Drosophila: a comparison of constant and alternating thermal regimes.,J. Thermal. Biol.,26,29-39,"Spain, Cordoba",-4.77899,37.88643,1,252
Drosophila simulans,Diptera,Drosophilidae,Drosophila,simulans,6.7,NA,193.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,McKenzie J.A.,1978,"The effect of developmental temperature on population flexibility in Drosophila melanogaster and D. simulans (Dipl., Drosophilidae).",Australian Journal of Zoology,26,105-112,"Tahbilk, Australia",144.7852,-37.4713,1,251
Drosophila simulans,Diptera,Drosophilidae,Drosophila,simulans,10.5,NA,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Hertlein, M.B.",1986,"Seasonal development of Leptopilina boulardi (Hymenoptera: Eucoilidae) and its hosts, Drosophila melanogaster and D. simulans (Diptera: Drosophilidae) in California.",Environmental Entomology,15(4),859-866,"Winters, California",-119.418,36.77826,1,250
Drosophila takahashii,Diptera,Drosophilidae,Drosophila,takahashii,7.9,NA,153.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Kimura, M.T.",1982,"Cold-hardiness and preimaginal period in two closely related species, Drosophila takahashii and D. lutescens.",Kontyu,50(4),638-648,"Kitanagoya, Japan",136.883,35.23405,2,255
Drosophila takahashii,Diptera,Drosophilidae,Drosophila,takahashii,9.8,NA,121.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Kimura M.T., Ohtsu T., Yoshida T., Awasaki T., Liu F.J.",1994,Climatic adaptations and distributions in the Drosophila takahashii species subgroup (Diptera: Drosophilidae).,J. Nat. Hist.,28,401 - 409,"Krong Doun Kaev, Cambodia",104.7808,10.99057,2,254
Drosophila takahashii,Diptera,Drosophilidae,Drosophila,takahashii,8.3,NA,149.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Kimura, M.T.",1982,"Cold-hardiness and preimaginal period in two closely related species, Drosophila takahashii and D. lutescens.",Kontyu,50(4),638-648,"Miyazaki Prefecture, Japan",131.4238934,31.9110956,1,256
Drosophila takahashii,Diptera,Drosophilidae,Drosophila,takahashii,7.91,NA,149.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Kimura, M.T.",1988,Adaptations to temperate climates and evolution of over- wintering strategies in the Drosophila melanogaster species group.,Evolution,42,1288-1297,"Sandai, Japan",140.8693558,38.268215,3,257
Drosophila trilutea,Diptera,Drosophilidae,Drosophila,trilutea,7.4,NA,167.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Kimura M.T., Ohtsu T., Yoshida T., Awasaki T., Liu F.J.",1994,Climatic adaptations and distributions in the Drosophila takahashii species subgroup (Diptera: Drosophilidae).,J. Nat. Hist.,28,401 - 409,"Nogi, Japan",139.7479,36.20598,2,258
Ectomyelois ceratoniae,Lepidoptera,Pyralidae,Ectomyelois,ceratoniae,10.6,NA,441.6,NA,NA,12.5,10.1,NA,NA,NA,NA,NA,13.5,NA,NA,52.5,330.6,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Cox P.D.,1976,The influence of temperature and humidity on the life-cycle of Ectomyelois ceratoniae (Zeller) (Lepidoptera: Phycitidae).,Journal of Stored Products Research,12,111-117,"Ness Ziona, Israel",34.8015,31.93029,1,938
Edovum puttleri,Hymenoptera,Eulophidae,Edovum,puttleri,10,NA,241.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Lashomb J., Ng Y.S., Jansson R.K., Bullock R.",1987,"Edovum puttleri (Hymenoptera: Eulophidae), an egg parasitoid of Colorado potato beetle (Coleoptera: Chrysomelidae): development and parasitism on eggplant.",Journal of Economic Entomology,80,65 - 68,"Trenton, New Jersey",-74.7437,40.21522,2,712
Eldana saccharina,Lepidoptera,Pyralidae,Eldana,saccharina,7.94,NA,1054.48,NA,NA,9.1,5.5,NA,NA,NA,NA,NA,10.8,NA,NA,125,846,NA,NA,NA,NA,NA,140,NA,NA,144.8,742.35,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Shanower, T. G., F. Schulthess, et al.",1993,Development and fecundity of Sesamia calamistis (Lepidoptera: Noctuidae) and Eldana saccharina (Lepidoptera: Pyralidae),Bulletin of Entomological Research,83,237-243,"Cotonou, Benin",2.3912362,6.3702928,3,939
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,fabae,8.3,NA,396.1,NA,NA,9.2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,141.9,258.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Sher R.B., Shields E.J.",1991,Potato leafhopper (Homoptera: Cicadellidae) oviposition and development under cool fluctuating temperatures.,Environmental Entomology,20,1113-1120,"Ithaca, New Yrok",-76.5015,42.44216,2,552
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,fabae,8.9,NA,352.2,NA,NA,9.2,8.8,NA,NA,NA,NA,NA,NA,NA,NA,141.9,210.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Sher R.B., Shields E.J.",1991,Potato leafhopper (Homoptera: Cicadellidae) oviposition and development under cool fluctuating temperatures.,Environmental Entomology,20,1113-1120,"Ithaca, New Yrok",-76.5015,42.44216,2,552
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,fabae,8.4,NA,312.5,NA,NA,8.8,8.1,NA,NA,NA,NA,NA,NA,NA,NA,128.2,175.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Hogg, D. B.",1985,"Potato leafhopper (Homoptera: Cicadellidae) immature development, life tables, and population dynamics under fluctuating temperature regimes",Environmental Entomology,14,349-355,"Madison, Wisconsin",-89.4112,43.07544,1,550
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,fabae,11.4,30,435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Kouskolekas, C. A., and G. C. Decker",1966,"The effect of temperature on the rate of development of the potato leafhopper, Empoasca fabae (Homoptera: Cicadellidae)",Annals of the Entomological Society of America,59,292-298,"Urbana, Illinois",-88.2072697,40.1105875,NA,551
Empoasca fabae,Homoptera,Cicadellidae,Empoasca,fabae,11.4,30,459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Kouskolekas, C. A., and G. C. Decker",1966,"The effect of temperature on the rate of development of the potato leafhopper, Empoasca fabae (Homoptera: Cicadellidae)",Annals of the Entomological Society of America,59,292-298,"Urbana, Illinois",-88.2072697,40.1105875,NA,551
Encarsia citrina,Hymenoptera,Aphelinidae,Encarsia,citrina,8.73,NA,425.21,NA,NA,10.1,NA,NA,NA,NA,NA,NA,5.94,NA,NA,232.31,NA,NA,NA,NA,NA,NA,199.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Matadha, D., Hamilton, G.C. and Lashomb, J.H.",2004,"Effect of Temperature on Development, Fecundity, and Life Table Parameters of Encarsia citrina Craw (Hymenoptera: Aphelinidae), a Parasitoid of Euonymus Scale , Unaspis euonymi (Comstock), and Quadraspidiotus perniciosus (Comstock) (Homoptera: Diaspididae).",Environmental Entomology,33(5),1185-1191,"Trenton, New Jersey",-74.7504,40.21378,1,600
Encarsia formosa,Hymenoptera,Aphelinidae,Encarsia,formosa,12,NA,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Shishehbor, P. and P. A. Brennan",1996,"Parasitism of the castor whitefly, <i>Trialeurodes ricini</i> (Homoptera: Aleyrodidae) by <i>Encarsia formosa</i> (Hymenoptera: Aphelinidae): bionomics in relation to temperature.",Bulletin of Entomological Research,86,67-72,"Ahwaz, Khuzestan Province, Iran",48.68294,31.31584,2,603
Encarsia formosa,Hymenoptera,Aphelinidae,Encarsia,formosa,12.8,NA,188.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Osborne, L. S.",1982,"Temperature-dependent development of greenhouse whitefly and its parasite, Encarsia formosa.",Environmental Entomology,11,483-485,"Davis, Yolo County, CA, USA",-121.7405167,38.5449065,4,602
Encarsia formosa,Hymenoptera,Aphelinidae,Encarsia,formosa,13.3,NA,207.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Enkegaard, A.",1993,"Encarsia formosa parasitizing the Poinsettia-strain of the cotton whitefly, Bemisia tabaci, on Poinsettia: bionomics in relation to temperature.",Entomologia Experimentalis et Applicata,69,251-261,"Radolfzell, Germany",8.966164,47.74289,2,601
Encarsia perniciosi,Hymenoptera,Aphelinidae,Encarsia,perniciosi,5.2,NA,520.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,"McClain D.C., Rock G.C., Stinner R.E.",1990,"Thermal requirements for development and simulation of the seasonal phenology of Encarsia perniciosi (Hymenoptera: Aphelinidae), a parasitoid of the San Jose scale (Homoptera: Diaspididae) in North Carolina orchards.",Environmental Entomology,19(5),1396-1402,"Clayton, North Carolina",-78.4996,35.66623,1,604
Encarsia perniciosi,Hymenoptera,Aphelinidae,Encarsia,perniciosi,8,NA,399.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,"McClain D.C., Rock G.C., Stinner R.E.",1990,"Thermal requirements for development and simulation of the seasonal phenology of Encarsia perniciosi (Hymenoptera: Aphelinidae), a parasitoid of the San Jose scale (Homoptera: Diaspididae) in North Carolina orchards.",Environmental Entomology,19(5),1396-1402,"Clayton, North Carolina",-78.4996,35.66623,1,604
Encarsia perniciosi,Hymenoptera,Aphelinidae,Encarsia,perniciosi,9.1,NA,366.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,"McClain D.C., Rock G.C., Stinner R.E.",1990,"Thermal requirements for development and simulation of the seasonal phenology of Encarsia perniciosi (Hymenoptera: Aphelinidae), a parasitoid of the San Jose scale (Homoptera: Diaspididae) in North Carolina orchards.",Environmental Entomology,19(5),1396-1402,"Clayton, North Carolina",-78.4996,35.66623,1,604
Endocima salaminia,Lepidoptera,Noctuidae,Endocima,salaminia,12.3,NA,533.3,NA,NA,11,11.9,NA,NA,NA,NA,NA,12.8,NA,NA,53,280.2,NA,NA,NA,NA,NA,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Sands D.P.A., Scholtz M., Bourne A.S.",1991,Effects of temperature on development and seasonality of Eudocima salaminia (Lepidoptera: Noctuidae) in eastern Australia.,Bulletin of Entomological Research,81,291-296,"Brisbane, California, USA",-122.3999715,37.6807661,2,847
Eocanthecona furcellata,Hemiptera,Pentatomidae,Eocanthecona,furcellata,13.5,NA,349.6,529.1,NA,16.33,15.89,NA,NA,NA,NA,NA,NA,15.42,NA,71.09,215.91,NA,NA,NA,NA,NA,NA,134.12,NA,91.7,257.9,37.5,49.5,47.7,49.3,77.5,-,#,NA,0,0,0,0,"Chu, Y. I. and C. M. Chu",1975,Life history and the effect of temperature on the growth of Eocanthecona furcellata (Wolff).,"Plant Protection Bulletin, Taiwan",17,99-114,"Tainan, Taiwan Province, China",120.35,23.17,2,373
Ephestia calidella,Lepidoptera,Pyralidae,Ephestia,calidella,9.8,NA,582.8,NA,NA,10.8,11,NA,NA,NA,NA,NA,11.6,NA,NA,77.3,318.8,NA,NA,NA,NA,NA,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Cox P.D.,1974,The influence of temperature and humidity on the life-cycles of Ephestia figuliella Gregson and Ephestia calidella (Guen‚e) (Lepidoptera: Phycitidae).,Journal of Stored Products Research,10,43-54,Cyprus,33.42986,35.12641,1,940
Ephestia cautella,Lepidoptera,Pyralidae,Ephestia,cautella,12.2,NA,461.7,NA,NA,11.3,NA,NA,NA,NA,NA,NA,14.8,NA,NA,64.3,NA,NA,NA,NA,NA,NA,90.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Bell C.H.,1975,Effects of temperature and humidity on development of four pyralid moth pests of stored products.,Journal of Stored Products Research,11,167-175,"Slough, United Kingdom",-0.59502,51.50839,1,941
Ephestia cautella,Lepidoptera,Pyralidae,Ephestia,cautella,12.4,NA,478.8,NA,NA,11.8,NA,NA,NA,NA,NA,NA,14.7,NA,NA,62.6,NA,NA,NA,NA,NA,NA,95.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Bell C.H.,1975,Effects of temperature and humidity on development of four pyralid moth pests of stored products.,Journal of Stored Products Research,11,167-175,"Slough, United Kingdom",-0.59502,51.50839,1,941
Ephestia elutella,Lepidoptera,Pyralidae,Ephestia,elutella,11.3,NA,616,NA,NA,10.5,NA,NA,NA,NA,NA,NA,10.8,NA,NA,91.1,NA,NA,NA,NA,NA,NA,188.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Bell C.H.,1975,Effects of temperature and humidity on development of four pyralid moth pests of stored products.,Journal of Stored Products Research,11,167-175,"Millwall, London, United Kingdom",-0.02053,51.49745,1,942
Ephestia elutella,Lepidoptera,Pyralidae,Ephestia,elutella,13.1,NA,555.3,NA,NA,10.3,NA,NA,NA,NA,NA,NA,10.8,NA,NA,96.3,NA,NA,NA,NA,NA,NA,195.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Bell C.H.,1975,Effects of temperature and humidity on development of four pyralid moth pests of stored products.,Journal of Stored Products Research,11,167-175,"Millwall, London, United Kingdom",-0.02053,51.49745,1,942
Ephestia figuliella,Lepidoptera,Pyralidae,Ephestia,figuliella,10.4,NA,855,NA,NA,11.1,10,NA,NA,NA,NA,NA,12.5,NA,NA,72.3,713.9,NA,NA,NA,NA,NA,129.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Cox P.D.,1974,The influence of temperature and humidity on the life-cycles of Ephestia figuliella Gregson and Ephestia calidella (Guen‚e) (Lepidoptera: Phycitidae).,Journal of Stored Products Research,10,43-54,Cyprus,33.42986,35.12641,1,943
Ephestia kuehniella,Lepidoptera,Pyralidae,Ephestia,kuehniella,7.3,NA,1479.7,NA,NA,9.5,6.3,NA,NA,NA,NA,NA,10.5,NA,NA,76,1257.4,NA,NA,NA,NA,NA,159.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Jacob T.A., Cox P.D.",1977,The influence of temperature and humidity on the life-cycle of Ephestia kuehniella Zeller (Lepidoptera: Pyralidae).,Journal of Stored Products Research,13,107-118,"Slough, United Kingdom",-1.45039,51.14137,3,945
Ephestia kuehniella,Lepidoptera,Pyralidae,Ephestia,kuehniella,9.4,NA,1333.7,NA,NA,10.1,9.3,NA,NA,NA,NA,NA,10.7,NA,NA,72,1064,NA,NA,NA,NA,NA,160.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,"Jacob T.A., Cox P.D.",1977,The influence of temperature and humidity on the life-cycle of Ephestia kuehniella Zeller (Lepidoptera: Pyralidae).,Journal of Stored Products Research,13,107-118,"Slough, United Kingdom",-1.45039,51.14137,3,945
Ephestia kuehniella,Lepidoptera,Pyralidae,Ephestia,kuehniella,10.5,NA,624.6,NA,NA,10.4,NA,NA,NA,NA,NA,NA,11,NA,NA,75.7,NA,NA,NA,NA,NA,NA,168.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Bell C.H.,1975,Effects of temperature and humidity on development of four pyralid moth pests of stored products.,Journal of Stored Products Research,11,167-175,"Southampton, United Kingdom",-1.4029,50.90699,1,944
Ephestia kuehniella,Lepidoptera,Pyralidae,Ephestia,kuehniella,10.9,NA,607.8,NA,NA,10.2,NA,NA,NA,NA,NA,NA,11.1,NA,NA,78,NA,NA,NA,NA,NA,NA,165.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Bell C.H.,1975,Effects of temperature and humidity on development of four pyralid moth pests of stored products.,Journal of Stored Products Research,11,167-175,"Southampton, United Kingdom",-1.4029,50.90699,1,944
Epichoristodes acerbella,Lepidoptera,Tortricidae,Epichoristodes,acerbella,8.7,NA,655.8,NA,NA,11.1,8.1,NA,NA,NA,NA,NA,4.5,NA,NA,115.9,393.1,NA,NA,NA,NA,NA,197.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Quaglia F.,1983,Influenza delle temperature costante sullo sviluppo pre-imaginale di Epichoristodes acerbella (Walker) (Lepidoptera: Tortricidae).,Frustula Entomologica NS,6,255-280,"Pisa, Italy",10.4016888,43.7228386,3,981
Epidinocarsis diversicornis,Hymenoptera,Encyrtidae,Epidinocarsis,diversicornis,11.5,NA,268.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,"Herrera C.J., Van Driesche R.G., Bellotti H.C.",1989,"Temperature-dependent growth rates for the cassava mealybug, Phenacoccus herreni, and two of its encyrtid parasitoids Epidinocarsis diversicornis and Acerophagus coccois in Colombia.",Entomologia Experimentalis et Applicata,50,21-27,"Cali - Cordoba, Colombia",-75.6088,8.848123,2,692
Epilachna varivestis,Coleoptera,Coccinellidae,Epilachna,varivestis,11.5,NA,358.1,NA,NA,11.1,NA,11.8,9.7,10.1,12.1,NA,12.4,NA,NA,70.9,NA,49.5,45.8,53.5,60.8,NA,79.2,NA,NA,68.1,200.6,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Cardenas, S. A., H. B. Mojica and R. R. Robles",1978,"Bioecological studies on Epilachna varivestis Mulsant, under field and laboratory conditions.",Agrocienca,34,133-145,"Chapingo, Mexico",-100.95315,20.488888,2,41
