Species,Order,Family,Genus,Species.1,BDT.C,UDT.C,EADDC,EEDDC,OS,ET,LT,TL1,TL2,TL3,TL4,TL5,TP,TMA,TOA,DE,DLT,D1,D2,D3,D4,D5,DP,DMA,DOA,DBE,DBLT,DB1,DB2,DB3,DB4,DB5,DBP,DBMA,DBOA,pest,aquatic,pupal,parasitoid,Author,Year,Title,Journal,Vol,Pages,Location,lon,lat,quality,index
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.2,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,72,170-177,"Manhattan, Kansas",-96.568752,39.18361,2,422
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.8,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,72,170-177,"Mapleton, North Dakota",-97.0511,46.88914,2,425
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,2.4,28,150.4,NA,NA,-,2.4,NA,NA,NA,NA,NA,NA,NA,NA,-,150.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Siddiqui, W. H., C. A. Barlow and P. A. Randolph",1973,"Effects of some constant and alternating temperatures on population growth of the pea aphid, Acyrthosiphon pisum (Homoptera: Aphididae)",Canadian Entomologist,105,145-156,"Ottawa, Canada",-75.69719,45.42153,4,427
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.9,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,72,170-177,"Prince Albert, SK, Canada",-105.753,53.20335,2,426
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,4.3,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Lamb R.J., MacKay P.A. and Gerber, G.H.",1987,"Are development and growth of pea aphids, Acyrthosiphon pisum, in North America adapted to local temperatures",Oecologia,72,170-177,"Rosemount, Minnesota",-93.12577,44.73941,2,423
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,6.84,25,104.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"Lu, W.-N. and Kuo,M.-H.",2008,Life table and heat tolerance of Acyrthosiphon pisum (Hemiptera: Aphididae) in subtropical Taiwan.,Entomol. Sci.,11,273?279,"Taichung, Taichung City, Taiwan",120.6704,24.13856,2,430
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,5.5,NA,110.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A. and M. Mackauer",1975,Thermal constants for development of the pea aphid (Homoptera: Aphididae) and some of its parasites,Canadian Entomologist,107,419-423,"Vancouver, British Columbia, CA",-123.1207375,49.2827291,3,417
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,6.3,NA,111.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A. and M. Mackauer",1975,Thermal constants for development of the pea aphid (Homoptera: Aphididae) and some of its parasites,Canadian Entomologist,107,419-423,"Vancouver, British Columbia, CA",-123.1207375,49.2827291,3,417
Acyrthosiphon pisum,Homoptera,Aphididae,Acyrthosiphon,pisum,5.6,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,"Campbell, A., Frazer, B.D., Gilbert, N., Gutierrez, A.P. and Mackauer M.",1974,Temperature requirements of some aphids and their parasites.,Journal of Applied Ecology,11,431-438,"Vancouver, British Columbia, CA",-123.1207375,49.2827291,2,420
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,8.36,NA,314.22,NA,NA,7.76,7.7,NA,NA,NA,NA,NA,9.39,NA,NA,51.9,180.23,NA,NA,NA,NA,NA,86.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Schder, J. Hommes, M. and Larink, O.",2004,The influence of temperature and food supply on the development of Adalia bipunctata (Coleoptera: Coccinellidae).,European Journal of Entomology,101,379-384,Germany,10.52582,52.27421,3,23
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,9.2,NA,251.81,NA,NA,6.19,9.67,NA,NA,NA,NA,NA,9.53,NA,NA,56.47,119.43,NA,NA,NA,NA,NA,81.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Schder, J. Hommes, M. and Larink, O.",2004,The influence of temperature and food supply on the development of Adalia bipunctata (Coleoptera: Coccinellidae).,European Journal of Entomology,101,379-384,Germany,10.52582,52.27421,3,23
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,9.2,NA,256.3,NA,NA,9.1,8.8,NA,NA,NA,NA,NA,10.2,NA,NA,43.9,151,NA,NA,NA,NA,NA,61.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Obrycki, J. J. and M. J. Tauber",1981,Phenology of three coccinellid species: thermal requirements for development,Annals of the Entomological Society of America,74,31-36,"Ithica, New York",-76.5004,42.44558,2,21
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,bipunctata,9.4,NA,245.6,NA,NA,12.8,5.9,NA,NA,NA,NA,NA,10.7,NA,NA,25.3,166.1,NA,NA,NA,NA,NA,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,Olszak R.W.,1987,"The occurrence of Adalia bipunctata (L.) (Coleoptera, Coccinellidae) in apple orchards and the effect of different factors on its development.",Ekologia Polska,35,755 - 765,Poland,19.02027,52.5737,2,22
Adalia flavomaculauta,Coleoptera,Coccinellidae,Adalia,flavomaculauta,16.6,NA,170.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Michels, G.J. and Bateman, A.C.",1986,"Larval biology of two imported predators of the greenbug, Hippodamia variegata Goetz and Adalia flavomaculata DeGeer, under constant temperatures.",Southwestern Entomologist,11,23-30,"Pretoria, South Africa",28.22262,-25.746,1,24
Adonia variegata,Coleoptera,Coccinellidae,Adonia,variegata,19.7,NA,90.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Michels, G.J. and Bateman, A.C.",1986,"Larval biology of two imported predators of the greenbug, Hippodamia variegata Goetz and Adalia flavomaculata DeGeer, under constant temperatures.",Southwestern Entomologist,11,23-30,Pretoria South Africa,28.22262,-25.746,1,25
Adoxophyes orana,Lepidoptera,Tortricidae,Adoxophyes,orana,6.81,NA,501.7,NA,larvae- 3rd instar,6.2,NA,5.3,7.1,6.2,5.7,4.9,6.5,NA,NA,333.3,NA,90.9,50,55.5,71.4,200,124.72,NA,NA,-,380.65,NA,NA,NA,NA,NA,#,NA,NA,1,0,1,0,"Milonas, P. G. and M. Savopoulou-Soultani",2000,"Development, survivorship, and reproduction of Adoxophyes orana (Lepidoptera: Tortricidae) at constant temperatures",Annals of the Entomological Society of America,93,96-102,"Thessaloniki, Greece",21.75652,40.54952,3,964
Aedes dorsalis,Diptera,Culicidae,Aedes,dorsalis,10.1,NA,139.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,Parker B.M.,1979,Development of the Mosquito Aedes dorsalis (Diptere: Culicidae) in relation to temperature and salinity.,Annals of the Entomological Society of America,72,105-108,"Chevy Chase Heights, Pennsylvania",-79.1525,40.62146,2,219
Aedes dorsalis,Diptera,Culicidae,Aedes,dorsalis,11.2,NA,127.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,Parker B.M.,1979,Development of the Mosquito Aedes dorsalis (Diptere: Culicidae) in relation to temperature and salinity.,Annals of the Entomological Society of America,72,105-108,"Chevy Chase Heights, Pennsylvania",-79.1525,40.62146,2,219
Agasides hygrophila,Coleoptera,Chrysomelidae,Agasides,hygrophila,11.56,NA,321.89,NA,NA,12.67,11.09,NA,NA,NA,NA,NA,11.8,NA,NA,55.67,133.47,NA,NA,NA,NA,NA,124.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Stewart, C. A., Chapman, R. B., Sunberson, R.M., Syrett, P. and Frampton, C.M.A.",1999,"The effect of temperature on the development and survival of Agasicles hygrophila Selman & Vogt (Coleoptera: Chrysomelidae), a biological control agent for alligator weed (Alternanthera philoxeroides).",New Zealand Journal of Zoology,26,?11-20,"Orewa, New Zealand",174.6898,-36.5829,2,115
Agasides hygrophila,Coleoptera,Chrysomelidae,Agasides,hygrophila,12.87,NA,268.07,NA,NA,12.92,13.72,NA,NA,NA,NA,NA,11.72,NA,NA,53.56,91.15,NA,NA,NA,NA,NA,125.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Stewart, C. A., Chapman, R. B., Sunberson, R.M., Syrett, P. and Frampton, C.M.A.",1999,"The effect of temperature on the development and survival of Agasicles hygrophila Selman & Vogt (Coleoptera: Chrysomelidae), a biological control agent for alligator weed (Alternanthera philoxeroides).",New Zealand Journal of Zoology,26,?11-20,"Orewa, New Zealand",174.6898,-36.5829,2,115
Aglais urticae,Lepidoptera,Nymphalidae,Aglais,urticae,10.6,NA,302.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Bryant, S. R., C. D. Thomas, et al.",1997,"Nettle-feeding nymphalid butterflies: temperature, development and distribution",Ecological Entomology,22,390-398,"Birmingham, United Kingdom",-1.9306,52.45067,1,902
Agromyza frontella,Diptera,Agromyzidae,Agromyza,frontella,7.1,NA,454.9,NA,NA,7,5.2,NA,NA,NA,NA,NA,7.9,NA,NA,62.9,111.4,NA,NA,NA,NA,NA,277.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,Mellors W.K. and Helgesen R.G.,1978,"Developmental rates for the alfalfa blotch leafminer, Agromyza frontella, at constant temperatures.",Annals of the Entomological Society of America,71,886-888,"Baton Rouge, Louisiana",-91.14032,30.45828,3,179
