Species name,Family,Order,Life stage,Metric,LT50,LT100,TimeLT100,TimeLT50,Latitude,Reference
Plagiolepis pygmaea,Formicidae,Hymenoptera,Adults,ULT,NA,42,1,NA,41,-6
Plathemis lydia,Libellulidae,Odonata,Nymphs,ULT,NA,44,60,NA,39,-79
Pringleophaga marioni,Tineidae,Lepidoptera,Larvae,ULT,NA,38,60,NA,-47,-44
Pycnocentrodes aureola,Conoesucidae,Trichoptera,Larvae,ULT,32.4,35,NA,NA,-38,-58
Pyconocenria evecta,Conoesucidae,Trichoptera,Larvae,ULT,30.4,33.5,NA,NA,-38,-58
Reticultermes flavipes,Scarabaeidae,Coleoptera,Adults,ULT,NA,46,NA,NA,33,-17
Reticultermes flavipes,Scarabaeidae,Coleoptera,Adults,ULT,NA,46.4,NA,NA,33,-18
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Larvae,ULT,45,45,35,18,40,-80
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Pupae,ULT,45,45,50,19,40,-80
Sarcophaga crassipalpis,Sarcophagidae,Diptera,Adults,ULT,45,45,80,65,40,-80
Scaptodrosophila bryani,Drosophilidae,Diptera,Adults,ULT,35.5,NA,NA,1440,24,-64
Scaptodrosophila coracina,Drosophilidae,Diptera,Adults,ULT,34.4,NA,NA,1440,43,-64
Scaptodrosophila coracina,Drosophilidae,Diptera,Adults,ULT,34.5,NA,NA,1440,24,-64
Scaptodrosophila dorsocentralis,Drosophilidae,Diptera,Adults,ULT,33.95,NA,NA,1440,24,-64
Scaptodrosophila pallida,Drosophilidae,Diptera,Adults,ULT,33.8,NA,NA,1440,43,-64
Sitophilus zeamais,Curculionidae,Coleoptera,Adults,ULT,NA,48.6,NA,NA,39,-45
Sitophilus zeamais,Curculionidae,Coleoptera,Adults,ULT,NA,50,NA,NA,45,45)
Tapinoma nigerrimum,Formicidae,Hymenoptera,Adults,ULT,NA,44,1,NA,41,-6
Tetramorium semilaeve,Formicidae,Hymenoptera,Adults,ULT,NA,42,1,NA,41,-6
Trichogramma brassicae,Trichogrammatidae,Hymenoptera,Pupae,ULT,40,NA,NA,285,-36,-81
Trichogramma carverae,Trichogrammatidae,Hymenoptera,Adults,ULT,40,NA,NA,120,-34,-82
Zelandobius furcillatus,Gripopterygidae,Plecoptera,Larvae,ULT,26,29.1,NA,NA,-38,-58
Zephlebia dentata,Leptophlebiidae,Ephemeroptera,Larvae,ULT,26.9,29.4,NA,NA,-38,-58
Adelges tsugae,Adelgidae,Hemiptera,Adults,LLT,NA,-35,120,NA,42,-83
Adesmia antiqua,Tenebrionidae,Coleoptera,Adults,LLT,-10,NA,NA,55,16,-53
Afrinus sp.,Tenebrionidae,Coleoptera,Adults,LLT,-6.8,NA,NA,60,-32,-84
Aleochara bilineata,Staphylinidae,Coleoptera,Pupae,LLT,NA,-14.8,17280,NA,51,-85
Alphitobius diaperinus,Tenebrionidae,Coleoptera,Adults,LLT,6,6,27360,12960,48,-86
Antarctopsocus jeanneli,Elipsocidae,Psocoptera,Adults,LLT,-13,NA,NA,60,-47,-57
Anthonomus pomorum,Curculionidae,Coleoptera,Adults,LLT,NA,-7,7200,NA,49,-87
Apetaenus litoralis,Tethinidae,Diptera,Adults,LLT,NA,-7,60,NA,-47,-5
Aphidius ervi,Ichneumonoidea,Hymenoptera,Pupae,LLT,-10,-10,43200,17280,50,-88
Aphidius rhopalosiphi,Ichneumonoidea,Hymenoptera,Pupae,LLT,-10,-10,28800,7200,50,-88
Baldulus tripsaci,Cicadellidae,Hemiptera,Adults,LLT,-5,-5,420,120,41,-89
Belgica antarctica,Chironomidae,Diptera,Adults,LLT,NA,-5.3,NA,NA,-65,-90
Belgica antarctica,Chironomidae,Diptera,Larvae,LLT,NA,-15,NA,NA,-65,-90
Bemisia argentifolii,Aleyrodidae,Hemiptera,Eggs,LLT,-10,NA,NA,30,33,-91
Bemisia argentifolii,Aleyrodidae,Hemiptera,Nymphs,LLT,-10,NA,NA,24,33,-91
Bemisia argentifolii,Aleyrodidae,Hemiptera,Adults,LLT,-10,NA,NA,15,33,-91
Bothrometopus elongatus,Curculionidae,Coleoptera,Adults,LLT,NA,-13.5,60,NA,-47,-60
Bothrometopus parvulus,Curculionidae,Coleoptera,Adults,LLT,NA,-12,60,NA,-47,-60
Bothrometopus randi,Curculionidae,Coleoptera,Adults,LLT,NA,-12,60,NA,-47,-60
Celatoblatta quinquemaculata,Blattidae,Blattodea,Adults,LLT,-8.2,NA,NA,50,-45,-92
Celatoblatta quinquemaculata,Blattidae,Blattodea,Adults,LLT,-4.5,NA,NA,50,-45,-92
Celatoblatta quinquemaculata,Blattidae,Blattodea,Adults,LLT,-10.3,-11.1,NA,NA,-45,-93
Cetonia aurata,Cetoniidae,Coleoptera,Larvae,LLT,NA,-16,NA,NA,48,-94
Cetonischema aeruginosa,Cetoniidae,Coleoptera,Larvae,LLT,NA,-20,NA,NA,48,-94
Chirodica chalcoptera,Chrysomelidae,Coleoptera,Adults,LLT,-10.1,NA,NA,120,-34,-16
Chymomyza amoena,Drosophilidae,Diptera,Larvae,LLT,-80,NA,NA,60,43,-95
Chymomyza amoena,Drosophilidae,Diptera,Larvae,LLT,NA,-40,NA,NA,43,-95
Coccinella septempunctata,Coccinellidae,Coleoptera,Adults,LLT,-15,NA,NA,1440,49,-96
Coptotermes formosanus,Rhinotermitidae,Isoptera,Adults,LLT,NA,-2.9,NA,NA,33,-18
Corythucha ciliata,Tingidae,Hemiptera,Adults,LLT,-10,NA,NA,120,31,-97
Corythucha ciliata,Tingidae,Hemiptera,Adults,LLT,-9,-11,240,240,31,-97
Cryptolestes ferrugineus,Laemophloeidae,Coleoptera,Adults,LLT,-14,NA,NA,157,39,-98
Cryptolestes ferrugineus,Laemophloeidae,Coleoptera,Adults,LLT,-12,NA,NA,804,50,-99
Cryptolestes ferrugineus,Laemophloeidae,Coleoptera,Pupae,LLT,-12,NA,NA,432,50,-99
Cryptolestes ferrugineus,Laemophloeidae,Coleoptera,Larvae,LLT,-12,NA,NA,1176,50,-99
Cryptolestes ferrugineus,Laemophloeidae,Coleoptera,Eggs,LLT,-12,NA,NA,546,50,-99
Cryptolestes ferrugineus,Laemophloeidae,Coleoptera,Adults,LLT,-10,NA,NA,2160,50,-100
Ctenucha virginica,Arctiidae,Lepidoptera,Larvae,LLT,-15.7,NA,NA,NA,47,-101
Cucujus clavipes,Cucujidae,Coleoptera,Adults,LLT,NA,-55,60,NA,61,-102
Cucujus clavipes,Cucujidae,Coleoptera,Larvae,LLT,-18,NA,NA,1440,42,-103
Cucujus clavipes,Cucujidae,Coleoptera,Larvae,LLT,-5,NA,NA,1440,42,-103
Cucujus clavipes,Cucujidae,Coleoptera,Adults,LLT,-10,NA,NA,1440,42,-103
Culex territans,Culicidae,Diptera,Adults,LLT,-5,-5,331200,197280,54,-104
Culiseta inornata,Culicidae,Diptera,Adults,LLT,-5,-5,43200,28800,54,-104
Cydia pomonella,Tortricidae,Lepidoptera,Larvae,LLT,-12.5,NA,NA,1440,47,-105
Cylas formicarius,Brentidae,Coleoptera,Adults,LLT,-10,-10,14400,7200,36,-106
Cymbalophora pudica,Arctiidae,Lepidoptera,Larvae,LLT,-5,NA,NA,1440,43,-107
Dalbulus elimatus,Cicadellidae,Hemiptera,adultsa,LLT,-5,-5,5760,1200,20,-89
Dalbulus gelbus,Cicadellidae,Hemiptera,Adults,LLT,-5,-5,1440,300,21,-89
Dalbulus maidis,Cicadellidae,Hemiptera,Adults,LLT,-5,-5,360,60,21,-89
Dalbulus maidis,Cicadellidae,Hemiptera,Adults,LLT,-5,-5,1440,240,21,-89
Dalbulus quinquenotatus,Cicadellidae,Hemiptera,Adults,LLT,-5,-5,480,180,20,-89
Danaus plexippus,Nymphalidae,Lepidoptera,Adults,LLT,-4,-4,4320,2238.6,39,-108
Delia radicum,Anthomyiidae,Diptera,Pupae,LLT,-17.5,-20,20160,28800,50,-109
Delia radicum,Anthomyiidae,Diptera,Pupae,LLT,-11,NA,NA,115200,51,-109
Delia radicum,Anthomyiidae,Diptera,Pupae,LLT,-10.2,NA,NA,110880,51,-85
Dendroctonus pseudotsugae,Curculionidae,Coleoptera,Adults,LLT,-14,-14,302400,8640,39,-110
Dendroides canadensis,Pyrochroidae,Coleoptera,Larvae,LLT,-24,NA,NA,1440,40,-111
Dendroides canadensis,Pyrochroidae,Coleoptera,Larvae,LLT,-28,NA,NA,1440,42,-103
Dendroides canadensis,Pyrochroidae,Coleoptera,Larvae,LLT,-5,NA,NA,1440,42,-103
Derocalymma sp. 1,Blaberidae,Blattodea,Adults,LLT,-6.15,NA,NA,60,-32,-84
Derocalymma sp. 2,Blaberidae,Blattodea,Adults,LLT,-7.1,NA,NA,60,-32,-84
Diabrotica balteata,Chrysomelidae,Coleoptera,Adults,LLT,-10,NA,NA,36,33,-112
Diabrotica undecimpunctata howardi,Chrysomelidae,Coleoptera,Adults,LLT,-10,NA,NA,66,33,-112
Diatraea grandiosella,Crambidae,Lepidoptera,Larvae,LLT,-5.6,NA,NA,NA,36,-113
Drosophila albomicans,Drosophilidae,Diptera,Larvae,LLT,NA,1.5,2880,NA,29,-67
Drosophila albomicans,Drosophilidae,Diptera,Adults,LLT,5.35,NA,NA,1440,24,-64
Drosophila alpina,Drosophilidae,Diptera,Adults,LLT,-6.5,NA,NA,1440,36,-114
Drosophila angularis,Drosophilidae,Diptera,Adults,LLT,-2,NA,NA,1440,36,-64
Drosophila annulipes,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,378,35,-65
Drosophila auraria,Drosophilidae,Diptera,Adults,LLT,-3.3,NA,NA,1440,43,-64
Drosophila auraria,Drosophilidae,Diptera,Adults,LLT,-3.3,NA,NA,1440,36,-64
Drosophila biauraria,Drosophilidae,Diptera,Adults,LLT,-7.5,NA,NA,NA,43,-66
Drosophila biauraria,Drosophilidae,Diptera,Adults,LLT,-2.4,NA,NA,1440,43,-64
Drosophila bifasciata,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,1854,35,-65
Drosophila bifasciata,Drosophilidae,Diptera,Adults,LLT,-10,NA,NA,1440,43,-114
Drosophila bifasciata,Drosophilidae,Diptera,Adults,LLT,-13,NA,NA,1440,62,-114
Drosophila bipectinata,Drosophilidae,Diptera,Adults,LLT,-2.6,NA,NA,NA,24,-50
Drosophila bipectinata,Drosophilidae,Diptera,Adults,LLT,7.7,NA,NA,1440,24,-64
Drosophila bizonata,Drosophilidae,Diptera,Adults,LLT,-1.2,NA,NA,1440,24,-64
Drosophila bizonata,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,1590,35,-65
Drosophila bizonata,Drosophilidae,Diptera,Adults,LLT,-2.5,NA,NA,1440,36,-64
Drosophila bocki,Drosophilidae,Diptera,Adults,LLT,6.5,NA,NA,1440,24,-64
Drosophila brachynephros,Drosophilidae,Diptera,Adults,LLT,-3.7,NA,NA,1440,43,-64
Drosophila busckii,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,264,35,-65
Drosophila curviceps,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,756,35,-65
Drosophila curviceps,Drosophilidae,Diptera,Larvae,LLT,NA,1.5,46080,NA,36,-67
Drosophila curvispina,Drosophilidae,Diptera,Adults,LLT,-4.45,NA,NA,1440,43,-64
Drosophila daruma,Drosophilidae,Diptera,Adults,LLT,1.95,NA,NA,1440,24,-64
Drosophila daruma,Drosophilidae,Diptera,Adults,LLT,0.3,NA,NA,1440,36,-64
Drosophila elegans,Drosophilidae,Diptera,Adults,LLT,3.9,NA,NA,1440,24,-64
Drosophila ficusphila,Drosophilidae,Diptera,Adults,LLT,2.35,NA,NA,1440,24,-64
Drosophila ficusphila,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,180,35,-65
Drosophila guanche,Drosophilidae,Diptera,Adults,LLT,-5.5,NA,NA,1440,28,-114
Drosophila hydei,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,636,35,-65
Drosophila immigrans,Drosophilidae,Diptera,Adults,LLT,-4,NA,NA,84,35,-65
