"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"1340","Cicadulina mbila","Homoptera","Cicadellidae","Cicadulina","mbila",13.7,NA,325.4,NA,"","11.7",NA,NA,"","","","",NA,NA,NA,"117.3",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Rensburg van G.D.J.",1982,"Laboratory observation on the biology of Cicadulina mbila (NaudÇ) (Homoptera: Cicadellidae), a vector of maize streak disease. l. Effect of temperature.","Phytophylactica","14","98-107","RSA  Potchertroost","",13.7,NA,NA
"1341","Circulifer opacipennis","Homoptera","Cicadellidae","Circulifer","opacipennis",15.1,NA,362.2,NA,"","16.1",16,NA,"","","","",NA,NA,NA,"114.6",162,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bindra O.S., Kaur P.",1970,"Influence of temperature on the rate of development of Circulifer opacipennis (Lethierry).","Indian J.Entomol.","32","174-177","India New Delhi","",15.1,77.2090212,28.6139391
"1342","Circulifer opacipennis","Homoptera","Cicadellidae","Circulifer","opacipennis",15.2,NA,307.6,NA,"","14.2",15.7,NA,"","","","",NA,NA,NA,"111.8",197.1,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sengonca C., Kersting V., Cinar A.",1991,"Laboratory studies on development and fecundity of Circulifer opacipennis (Lethierry) (Homoptera: Cicadellidae) an important vector of Spiroplasma citri Saglio et al. in the Mediterranean area.","Zeitschrift fur Pflanzenkrankheiten und Pflanzenschutz","98","650-654","Turkey ","?)",15.2,35.243322,38.963745
"1343","Circulifer tenellus","Homoptera","Cicadellidae","Circulifer","tenellus",14.4,35,361.1,NA,"","13.65",14.83,NA,"","","","",NA,NA,NA,"116.16",251.07,"","","","","",NA,NA,NA,"111.1",250,NA,NA,NA,NA,"","-",NA,"","Harries, F. H., and J. R. Douglass",1948,"Bionomic studies on the beet leafhopper","Ecological Monographs","18","47-79","USA, Idaho ","lab and field studies)",14.4,-114.7420408,44.0682019
"1344","Dikrella californica","Homoptera","Cicadellidae","Dikrella","californica",8.1,28,452.9,594.3,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"200.6",252.3,NA,NA,NA,NA,"","-",141.4,"","Williams, D. W.",1984,"Ecology of the blackberry-leafhopper-parasite system and its relevance to California grape agroecosystems","Hilgardia","52","32p","USA, California ","lab and field studies)",8.1,-76.5074542,38.3004029
"1346","Empoasca fabae","Homoptera","Cicadellidae","Empoasca","fabae",8.4,NA,312.5,NA,"","8.8",8.1,NA,"","","","",NA,NA,NA,"128.2",175.4,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Hogg, D. B.",1985,"Potato leafhopper (Homoptera: Cicadellidae) immature development, life tables, and population dynamics under fluctuating temperature regimes","Environmental Entomology","14"," 349-355","USA Wisconsin","",8.4,-88.7878678,43.7844397
"1348","Empoasca fabae","Homoptera","Cicadellidae","Empoasca","fabae",11.4,30,435,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kouskolekas, C. A., and G. C. Decker",1966,"The effect of temperature on the rate of development of the potato leafhopper, Empoasca fabae (Homoptera: Cicadellidae)","Annals of the Entomological Society of America","59","292-298","USA, Illinois ","field studies)",11.4,-89.3985283,40.6331249
"1349","Empoasca fabae","Homoptera","Cicadellidae","Empoasca","fabae",11.4,30,459,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Kouskolekas, C. A., and G. C. Decker",1966,"The effect of temperature on the rate of development of the potato leafhopper, Empoasca fabae (Homoptera: Cicadellidae)","Annals of the Entomological Society of America","59","292-298","USA, Illinois ","lab studies)",11.4,-89.3985283,40.6331249
"1350","Empoasca fabae","Homoptera","Cicadellidae","Empoasca","fabae",8.3,NA,396.1,NA,"","9.2",7.7,NA,"","","","",NA,NA,NA,"141.9",258.6,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sher R.B., Shields E.J.",1991,"Potato leafhopper (Homoptera: Cicadellidae) oviposition and development under cool fluctuating temperatures.","Environmental Entomology","20","1113-1120","USA, New York,  Ithaca","",8.3,NA,NA
"1351","Empoasca fabae","Homoptera","Cicadellidae","Empoasca","fabae",8.9,NA,352.2,NA,"","9.2",8.8,NA,"","","","",NA,NA,NA,"141.9",210.6,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sher R.B., Shields E.J.",1991,"Potato leafhopper (Homoptera: Cicadellidae) oviposition and development under cool fluctuating temperatures.","Environmental Entomology","20","1113-1120","Hawaii","",8.9,-155.5827818,19.8967662
"1354","Erythroneura comes","Homoptera","Cicadellidae","Erythroneura","comes",10,NA,497,580,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"208",289,57,46,45,53,"88","-",83,"","Martinson, T. E. and T. J. Dennehy",1995,"Influence of temperature-driven phenology and photoperiodic induction of reproductive diapause on population dynamics of Erythroneura comes (Homoptera: Cicadellidae)","Environmental Entomology","24"," 1504-1514","USA, New York, Geneva","",10,-76.985557,42.8679836
"1356","Erythroneura elegantula","Homoptera","Cicadellidae","Erythroneura","elegantula",10.3,NA,544.4,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Jensen, F. L., and D. L. Flaherty",1982,"Grape Leafhopper","In: Grape Pest Management. U.C. Div. Agr. Sci. Publ. #4105","","95-110","USA, California","",10.3,-119.4179324,36.778261
"1357","Graminella nigrifrons","Homoptera","Cicadellidae","Graminella","nigrifrons",13.7,NA,237.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Larsen K.J., Madden L.V., Nault L.R.",1990,"Effect of temperature and host plant on the development of the blackfaced leafhopper.","Entomologia Experimentalis et Applicata","55","285-294","USA Ohio","",13.7,-82.907123,40.4172871
"1358","Graminella nigrifrons","Homoptera","Cicadellidae","Graminella","nigrifrons",13.2,NA,349.3,NA,"","14.2",12.6,NA,"","","","",NA,NA,NA,"98.3",254.4,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sedlacek J.D., Yeargan K.V., Freytag P.H.",1990,"Effect of temperature on the development of the blackfaced leafhopper (Homoptera: Cicadellidae).","Environmental Entomology","19(2)","209-214","USA Kentucky","",13.2,NA,NA
"1359","Graminella nigrifrons","Homoptera","Cicadellidae","Graminella","nigrifrons",13.8,NA,311,NA,"","14.1",13.7,NA,"","","","",NA,NA,NA,"98.8",212.9,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Sedlacek J.D., Yeargan K.V., Freytag P.H.",1990,"Effect of temperature on the development of the blackfaced leafhopper (Homoptera: Cicadellidae).","Environmental Entomology","19(2)","209-214","USA Kentucky","",13.8,NA,NA
"1361","Macrosteles fascifrons","Homoptera","Cicadellidae","Macrosteles","fascifrons",10.55,NA,356.1,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"110",246.1,NA,NA,NA,NA,"","-",NA,"","Jensen, J. O. and R. K. Chapman",1979,"A curvilinear method for the determination of the base temperature and heat units associated with aster leafhopper development (Chairman)","Proceedings of the North Central Branch of the Entomological Society of America 1978","33","53p","USA, Wisconsin","",10.55,-88.7878678,43.7844397
"1366","Typhlocyba froggatti","Homoptera","Cicadellidae","Typhlocyba","froggatti",9.4,NA,486.4,NA,"","9.9",8.8,NA,"","","","",NA,NA,NA,"226",262.6,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Teulon D.A.J., Penman D.R.",1987,"Development of Typhlocyba froggatti Baker (Homoptera: Cicadellidae) and determination of lower threshold temperatures.","New Zealand Journal of Zoology","14","543-547","New Zealand Canterbury","",9.4,171.1637245,-43.7542275
"1367","Haplaxius crudus","Homoptera","Cixiidae","Haplaxius","crudus",12.8,NA,904.3,NA,"","16.2",11.3,NA,"","","","",NA,NA,NA,"151.4",776.7,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tsai J.H.,  Kirsch O.H.",1978,"Bionomics of Haplaxius crudus (Homoptera: Cixiidae).","Environmental Entomology","7","305-308","USA Florida","",12.8,NA,NA
"1370","Saissetia coffeae","Homoptera","Coccidae","Saissetia","coffeae",6.05,NA,848.35,NA,"","7.11",NA,11.93,"4.11","","","",NA,NA,NA,"270",NA,"43","555","","","",NA,NA,NA,"291.67",556.68,69.19,487.49,NA,NA,"","-",NA,"","Li, C., T. Su, et al.",2002,"Effects of temperature on development of the hemispherical scale, Saissetia coffeae (Walker) (Homoptera: Coccidae), and its occurrence on cycad (Cycas taiwanian Carr.)","Formosan Entomologist","22"," 65-74","Taiwan","",6.05,NA,NA
"1376","Laodelphax striatellus","Homoptera","Delphacidae","Laodelphax","striatellus",12.1,NA,295.3,NA,"","11.8",11.6,NA,"","","","",NA,NA,NA,"113.6",192.2,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Noda H.",1989,"Developmental zero and total effective temperature of three rice planthoppers (Homoptera: Delphacidae).","Japanese Journal of Applied Entomology and Zoology","33","263-266","Japan, Izunus","",12.1,NA,NA
"1377","Laodelphax striatellus","Homoptera","Delphacidae","Laodelphax","striatellus",12.2,NA,283.4,NA,"","11.8",11.6,NA,"","","","",NA,NA,NA,"113.6",184.7,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Noda H.",1989,"Developmental zero and total effective temperature of three rice planthoppers (Homoptera: Delphacidae).","Japanese Journal of Applied Entomology and Zoology","33","263-266","Japan, Izunus","",12.2,NA,NA
"1378","Laodelphax striatellus","Homoptera","Delphacidae","Laodelphax","striatellus",12.5,NA,277.8,NA,"","12.5",12.1,NA,"","","","",NA,NA,NA,"99.7",185.4,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Noda H.",1989,"Developmental zero and total effective temperature of three rice planthoppers (Homoptera: Delphacidae).","Japanese Journal of Applied Entomology and Zoology","33","263-266","Japan, Kamikawa","",12.5,NA,NA
"1379","Laodelphax striatellus","Homoptera","Delphacidae","Laodelphax","striatellus",13,NA,258.8,NA,"","12",11.7,NA,"","","","",NA,NA,NA,"107.7",183.7,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Noda H.",1989,"Developmental zero and total effective temperature of three rice planthoppers (Homoptera: Delphacidae).","Japanese Journal of Applied Entomology and Zoology","33","263-266","Japan, Ishigah","",13,NA,NA
"1380","Laodelphax striatellus","Homoptera","Delphacidae","Laodelphax","striatellus",13.3,NA,247.1,NA,"","12.5",12.6,NA,"","","","",NA,NA,NA,"99.7",165.3,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Noda H.",1989,"Developmental zero and total effective temperature of three rice planthoppers (Homoptera: Delphacidae).","Japanese Journal of Applied Entomology and Zoology","33","263-266","Japan, Ishigah","",13.3,NA,NA
"1381","Laodelphax striatellus","Homoptera","Delphacidae","Laodelphax","striatellus",13.3,NA,243.4,NA,"","12",12,NA,"","","","",NA,NA,NA,"107.7",168.9,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Noda H.",1989,"Developmental zero and total effective temperature of three rice planthoppers (Homoptera: Delphacidae).","Japanese Journal of Applied Entomology and Zoology","33","263-266","Japan, Kamikawa","",13.3,NA,NA
"1391","Abgrallaspis cyanophylli","Homoptera","Diaspididae","Abgrallaspis","cyanophylli",4.41,NA,978.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ponsonby, D. J. and M. J. W. Copland",2000,"Environmental effects on the development and survival of the scale insect Abgrallaspis cyanophylli (Signoret) (Homoptera: Diaspididae) with reference to its suitability for use as a host for rearing biological control agents.","Biocontrol Science and Technology ","10"," 583-594","trops and then green house in UK, Kew","",4.41,NA,NA
"1396","Aonidiella aurantii","Homoptera","Diaspididae","Aonidiella","aurantii",11.6,NA,281.4,616.4,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",335,"","Kennett, C. E. and R. W. Hoffmann",1985," Seasonal development of the California red scale (Homoptera: Diaspididae) in San Joaquin Valley citrus based on degree-day accumulation","Journal of Economic Entomology","78"," 73-79","USA, California, Tulare county","",11.6,NA,NA
"1397","Aonidiella aurantii","Homoptera","Diaspididae","Aonidiella","aurantii",11.5,NA,437.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yu, D. S. and R. F. Luck",1988,"Temperature-dependent size and development of California red scale (Homoptera: Diaspididae) and its effect on host availability for the ectoparasitoid, Aphytis melinus DeBach (Hymenoptera: Aphelinidae)","Environmental Entomology","17"," 154-161","USA California","",11.5,-119.4179324,36.778261
"1398","Aonidiella aurantii","Homoptera","Diaspididae","Aonidiella","aurantii",12.5,NA,336.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Yu, D. S. and R. F. Luck",1988,"Temperature-dependent size and development of California red scale (Homoptera: Diaspididae) and its effect on host availability for the ectoparasitoid, Aphytis melinus DeBach (Hymenoptera: Aphelinidae)","Environmental Entomology","17"," 154-161","USA California","",12.5,-119.4179324,36.778261
"1401","Hemiberlesia rapax","Homoptera","Diaspididae","Hemiberlesia","rapax",10.3,NA,882,NA,"","",NA,NA,"9.6","9.7","10.3","",NA,10.3,10.6,"",NA,"257","295","330","","",NA,110,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Blank, B. H., G. S. C. Gill, et al.",2000,"Development and mortality of greedy scale (Homoptera: Diaspididae) at constant temperatures","Environmental Entomology","29"," 934-942","New Zealand, Maunu near Whangari, 35¯44'S 174¯18'E","",10.3,NA,NA
"1410","Pseudaulacaspis pentagona","Homoptera","Diaspididae","Pseudaulacaspis","pentagona",4.6,NA,528.5,NA,"","9.9",2.3,NA,"","","","",NA,NA,NA,"47.7",515.6,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ball J.C.",1980,"Development and fecundity of the white peach scale at two constant temperatures.","Florida Entomologist","63","188-194","USA lab Fla","",4.6,NA,NA
"1411","Pseudaulacaspis pentagona","Homoptera","Diaspididae","Pseudaulacaspis","pentagona",5.9,NA,447.3,NA,"","9.9",4.2,NA,"","","","",NA,NA,NA,"47.7",419.6,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Ball J.C.",1980,"Development and fecundity of the white peach scale at two constant temperatures.","Florida Entomologist","69","188-194","USA lab Fla","",5.9,NA,NA
"1413","Quadraspidiotus perniciosus","Homoptera","Diaspididae","Quadraspidiotus","perniciosus",10.7,32.2,555.1,583.3,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"300.6",250.5,128.3,122.2,NA,NA,"","",32.2,"","Jorgensen, C. D., R. E. Rice, S. C. Hoyt, and P. H. Westigard",1981,"Phenology of the San Jose Scale (Homoptera: Diaspididae)","Canadian Entomologist","113","149-159","USA, California ","",10.7,-76.5074542,38.3004029
"1427","Phenacoccus herreni","Homoptera","Pseudococcidae","Phenacoccus","herreni",15.4,NA,207.6,NA,"","14.7",15.6,NA,"","","","",NA,NA,NA,"70.5",139.2,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Herrera C.J., Van Driesche R.G., Bellotti H.C.",1989,"Temperature-dependent growth rates for the cassava mealybug, Phenacoccus herreni, and two of its encyrtid parasitoids Epidinocarsis diversicornis and Acerophagus coccois in Colombia.","Entomologia Experimentalis et Applicata","50","21-27","Colombia","",15.4,NA,NA
"1428","Phenacoccus herreni","Homoptera","Pseudococcidae","Phenacoccus","herreni",15.8,NA,195.8,NA,"","14.7",16.1,NA,"","","","",NA,NA,NA,"70.5",127.7,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Herrera C.J., Van Driesche R.G., Bellotti H.C.",1989,"Temperature-dependent growth rates for the cassava mealybug, Phenacoccus herreni, and two of its encyrtid parasitoids Epidinocarsis diversicornis and Acerophagus coccois in Colombia.","Entomologia Experimentalis et Applicata","50","21-27","Colombia","",15.8,NA,NA
"1431","Phenacoccus manihoti","Homoptera","Pseudococcidae","Phenacoccus","manihoti",10,NA,471.6,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lema, K.M. and Herren, H.R.",1985,"The influence of constant temperature on population growth rates of the cassava mealybug, Phenacoccus manihoti.","Entomologia Experimentalis et Applicata","38(2)","165-169","Nigeria","",10,NA,NA
"1434","Planococcus kraunhiae","Homoptera","Pseudococcidae","Planococcus","kraunhiae",3.4,30,659.5,NA,"","",8,NA,"","","","",NA,11.7,NA,"",519,"","","","","",NA,312,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Arai, T.",1996,"Temperature-dependent development rate of three mealybug species, Pseudococcus citriculus Green, Planococcus citri (Risso), and Planococcus kraunhiae (Kuwana) (Homoptera: Pseudococcidae) on Citrus","Japanese Journal of Applied Entomology and Zoology ","40"," 25-34","Japan Shimazu 35N","",3.4,NA,NA
"1435","Planococcus kraunhiae","Homoptera","Pseudococcidae","Planococcus","kraunhiae",6.3,30,544.9,NA,"","",9.5,NA,"","","","",NA,NA,NA,"",454,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Arai, T.",1996,"Temperature-dependent development rate of three mealybug species, Pseudococcus citriculus Green, Planococcus citri (Risso), and Planococcus kraunhiae (Kuwana) (Homoptera: Pseudococcidae) on Citrus","Japanese Journal of Applied Entomology and Zoology ","40"," 25-34","Japan Shimazu 35N","",6.3,NA,NA
"1436","Pseudococcus citriculus","Homoptera","Pseudococcidae","Pseudococcus","citriculus",11.73,30,338.13,NA,"","",11.7,11.9,"13.1","9.9","","",NA,10,NA,"",338,"143","83","115","","",NA,302,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Arai, T.",1996,"Temperature-dependent development rate of three mealybug species, Pseudococcus citriculus Green, Planococcus citri (Risso), and Planococcus kraunhiae (Kuwana) (Homoptera: Pseudococcidae) on Citrus","Japanese Journal of Applied Entomology and Zoology ","40"," 25-34","Japan Shimazu 35N","",11.73,NA,NA
"1437","Pseudococcus citriculus","Homoptera","Pseudococcidae","Pseudococcus","citriculus",12.24,30,367.31,NA,"","",12.2,11.4,"11.7","","","13.4",NA,NA,NA,"",368,"147","118","","","106",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Arai, T.",1996,"Temperature-dependent development rate of three mealybug species, Pseudococcus citriculus Green, Planococcus citri (Risso), and Planococcus kraunhiae (Kuwana) (Homoptera: Pseudococcidae) on Citrus","Japanese Journal of Applied Entomology and Zoology ","40"," 25-34","Japan Shimazu 35N","",12.24,NA,NA
"1439","Pseudococcus comstocki","Homoptera","Pseudococcidae","Pseudococcus","comstocki",10.1,NA,655.57,840.17,"","14.5",10.77,8.4,"-","10.2","","",NA,11.8,NA,"105",457.04,"315","-","143","","",NA,143,NA,"155.42",500.15,275.78,NA,224.37,NA,"","-",184.6,"","Jeon, H.Y., K. DongSoon, et al.",2003,"Temperature-dependent development of Pseudococcus comstocki (Homoptera: Pseudococcidae) and its stage transition models.","Korean Journal of Applied Entomology","42"," 43-51","Korean Republic","",10.1,118.1257661,24.4975048
"1443","Acizzia uncatoides","Homoptera","Psyllidae","Acizzia","uncatoides",0,NA,442.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Madubunyi, L.C. and Koehler, C.S.",1974,"Development, survival and capacity for increase of the Albizzia psyllid at various constant temperatures.","Environmental Entomology","3(6)","1013-1016","USA California","",0,-119.4179324,36.778261
"1444","Cacopsylla pyricola","Homoptera","Psyllidae","Cacopsylla","pyricola",6,NA,336,NA,"adult","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"84",252,NA,NA,NA,NA,"","-",NA,"","Brunner, J. F.",1984,"The development, distribution and sampling for the pear psyllid, Psylla pyricola","Bulletin SROP","7"," 81-96","USA, Washington State","",6,-120.7401386,47.7510741
"1446","Cacopsylla pyricola","Homoptera","Psyllidae","Cacopsylla","pyricola",0.6,NA,677.9,NA,"","0.1",1.8,NA,"","","","",NA,NA,NA,"163.9",470.9,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","McMullen, R.D. and Jong, C.",1977,"Effect of temperature and host vigor on fecundity of the pear psylla (Homoptera: Psyllidae). ","Canadian Entomologist","109","165-169","Canada B Columbia","",0.6,-75.06607,3.0461299
"1448","Diaphorina citri","Homoptera","Psyllidae","Diaphorina","citri",7.59,NA,237.44,NA,"","9.22",7.63,NA,"","","","",NA,NA,NA,"61",169,"","","","","",NA,NA,NA,"66.54",170.9,NA,NA,NA,NA,"","-",NA,"","Yang, Y. B.",1989,"Effects of light, temperature and humidity on the development, production and survival of citrus psylla.","Acta Ecologica Sinica","9","348-354","China","",7.59,104.195397,35.86166
"1449","Aphelinus abdominalis","Hymenoptera","Aphelinidae","Aphelinus","abdominalis",8.3,NA,249.9,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bassoleil J.P.",1988,"Lutte biologique contre les pucerous en serre.","Thesis. Ecole Nat.Super Agron.Rennes.  Stat.Zool.Lutte Biol. Antibes,"," ","227 pp","France","",8.3,2.213749,46.227638
"1450","Aphelinus albipodus","Hymenoptera","Aphelinidae","Aphelinus","albipodus",9.6,NA,205,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lee, J., N. C. Elliott, et al.",1998,"Temperature effects on development in Aphelinus albipodus (Hymenoptera: Aphelinidae) from two geographic regions","Great Lakes Entomologist","31"," 173-179","China, Urumqui","",9.6,87.616848,43.825592
"1451","Aphelinus albipodus","Hymenoptera","Aphelinidae","Aphelinus","albipodus",9.7,NA,205,NA,"","8.9",NA,NA,"","","","",10.9,NA,NA,"135",NA,"","","","","",70,NA,NA,"80",NA,NA,NA,NA,NA,"","125",NA,"","Lee, J., N. C. Elliott, et al.",1998,"Temperature effects on development in Aphelinus albipodus (Hymenoptera: Aphelinidae) from two geographic regions","Great Lakes Entomologist","31"," 173-179","China, Pingluo","",9.7,106.523474,38.913544
"1452","Aphelinus asychis","Hymenoptera","Aphelinidae","Aphelinus","asychis",5.8,NA,267.7,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bernal J., Gonzalez D.",1993,"Temperature requirements of  four parasites of the Russian  wheat aphid Diuraphis noxia.","Entomologia Experimentalis et Applicata","69","173-182","France, south","",5.8,2.213749,46.227638
"1453","Aphelinus asychis","Hymenoptera","Aphelinidae","Aphelinus","asychis",7.5,NA,238.1,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bernal J., Gonzalez D.",1993,"Temperature requirements of  four parasites of the Russian  wheat aphid Diuraphis noxia.","Entomologia Experimentalis et Applicata","69","173-182","Chile, west","",7.5,-71.542969,-35.675147
"1454","Aphelinus asychis","Hymenoptera","Aphelinidae","Aphelinus","asychis",6.4,NA,246.7,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bernal, J. and D. Gonzalez",1993,"Temperature requirements of four parasites of the Russian wheat aphid Diuraphis noxia","Entomologia Experimentalis et Applicata","69","173-182","Chile ","lab in USA, California, send it from lab USA, Texas))",6.4,-71.542969,-35.675147
"1455","Aphelinus asychis","Hymenoptera","Aphelinidae","Aphelinus","asychis",7.1,NA,248.8,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Bernal, J. and D. Gonzalez",1993,"Temperature requirements of four parasites of the Russian wheat aphid Diuraphis noxia","Entomologia Experimentalis et Applicata","69","173-182","S France ","lab in USA, California, send it from lab USA, Texas))",7.1,2.213749,46.227638
"1456","Aphelinus asychis","Hymenoptera","Aphelinidae","Aphelinus","asychis",5.6,NA,267.01,NA,"","",4.8,NA,"","","","",5.79,NA,NA,"",137.39,"","","","","",135.85,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Byeon, Y.W., Kim, J.H. and Kim, Y.H.",2005,"Biology and functional response of aphid parasitoid Aphelinus asychis Walker (Chalcidoidea, Aphidinidae) in the laboratory.","Proceedings of International Symposium on Biological Control of Aphids and Coccids, Tsuruoka, Japan, September 25-29, 2005","","214","Korea","",5.6,127.9784585,37.6639976
"1457","Aphelinus asychis","Hymenoptera","Aphelinidae","Aphelinus","asychis",8.2,NA,229,NA,"","9.9",NA,NA,"","","","",4.4,NA,NA,"108",NA,"","","","","",123,NA,NA,"132.7",NA,NA,NA,NA,NA,"","96.3",NA,"","Lee, J., N. C. Elliott, et al.",1998," Comparison of developmental responses to temperature in Aphelinus asychis (Walker) from two different geographic regions","Southwestern Entomologist","23"," 77-82","China, Pingluo 38¯5'N  106¯30'E ","exper. in USA)",8.2,127.9784585,37.6639976
"1458","Aphelinus asychis","Hymenoptera","Aphelinidae","Aphelinus","asychis",9.3,NA,198,NA,"","9",NA,NA,"","","","",10,NA,NA,"134",NA,"","","","","",61,NA,NA,"130",NA,NA,NA,NA,NA,"","68",NA,"","Lee, J., N. C. Elliott, et al.",1998," Comparison of developmental responses to temperature in Aphelinus asychis (Walker) from two different geographic regions","Southwestern Entomologist","23"," 77-82","Morocco, Sette 33¯0'N  07¯40'W ","exper. In USA)",9.3,127.9784585,37.6639976
"1459","Aphelinus gossypii","Hymenoptera","Aphelinidae","Aphelinus","gossypii",7.64,NA,306.24,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tang, Y. Q. and R. K. Yokomi",1995,"Temperature-dependent development of three hymenopterous parasitoids of aphids (Homoptera: Aphididae) attacking citrus","Environmental Entomology","24"," 1736-1740","USA, Florida","",7.64,NA,NA
"1460","Aphelinus gossypii","Hymenoptera","Aphelinidae","Aphelinus","gossypii",8.15,NA,291.62,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Tang, Y. Q. and R. K. Yokomi",1995,"Temperature-dependent development of three hymenopterous parasitoids of aphids (Homoptera: Aphididae) attacking citrus","Environmental Entomology","24"," 1736-1740","USA, Florida","",8.15,NA,NA
