"","Species","Order","Family","Genus","Species.1","BDT.C","UDT.C","EADDC","EEDDC","OS","ET","LT","TL1","TL2","TL3","TL4","TL5","TP","TMA","TOA","DE","DLT","D1","D2","D3","D4","D5","DP","DMA","DOA","DBE","DBLT","DB1","DB2","DB3","DB4","DB5","DBP","DBMA","DBOA","Author","Year","Title","Journal","Vol","Pages","Location","Lab","BDT.c","lon","lat"
"796","Musca domestica","Diptera","Muscidae","Musca","domestica",11.2,NA,169.5,NA,"","",NA,NA,"","","","",11.7,NA,NA,"",NA,"","","","","",77.6,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Imai C.",1979,"Influence of temperature on the development of Hokko colony nad Tatsuki strain of the housefly, Musca domestica.","","30","173-179","Japan","",11.2,138.252924,36.204824
"797","Musca domestica","Diptera","Muscidae","Musca","domestica",11.4,NA,168.4,NA,"","",NA,NA,"","","","",12.5,NA,NA,"",NA,"","","","","",68,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Imai C.",1979,"Influence of temperature on the development of Hokko colony nad Tatsuki strain of the housefly, Musca domestica.","","30","173-179","Japan","",11.4,138.252924,36.204824
"800","Stomoxys calcitrans","Diptera","Muscidae","Stomoxys","calcitrans",11.98,NA,193.3,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Lysyk, TJ.",1998,"Relationships between temperature and life-history parameters of Stomoxys calcitrans (Diptera: Muscidae).","J. Med. Entomol.","35(2)","107-119","Canada, Alberta, 50¯N","",11.98,-94.6858998,46.729553
"805","Megaselia scalaris","Diptera","Phoridae","Megaselia","scalaris",12.1,NA,431.4,NA,"","10.1",9.1,NA,"","","","",13.6,NA,NA,"247.3",116,"","","","","",111.4,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Prawirodisastro M., Benjamin D.M.",1979,"Laboratory study on the biology and ecology of Megaselia scalaris (Diptera: Phoridae).","Journal of Medical Entomology","16","317-320","USA Wisconsin","",12.1,-88.7878678,43.7844397
"806","Megaselia scalaris","Diptera","Phoridae","Megaselia","scalaris",12.2,NA,428.9,NA,"","10.1",9.1,NA,"","","","",13.8,NA,NA,"247.3",116,"","","","","",109.8,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Prawirodisastro M., Benjamin D.M.",1979,"Laboratory study on the biology and ecology of Megaselia scalaris (Diptera: Phoridae).","Journal of Medical Entomology","16","317-320","USA Wisconsin","",12.2,-88.7878678,43.7844397
"807","Psila rosae","Diptera","Psilidae","Psila","rosae",4.11,NA,932.79,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Collier R.H. and Finch S.",1996,"Field and laboratory studies on the effects of temperature on the development of the carrot fly (Psila rosae F.).","Ann. Appl. Biol.","128","?1-11","UK, Lincolnshir","",4.11,-0.1601246,52.9451889
"808","Psila rosae","Diptera","Psilidae","Psila","rosae",2.5,NA,1082.1,NA,"","4.2",2.5,NA,"","","","",1.5,NA,NA,"97.8",622.2,"","","","","",375.2,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","McLeod, D.G.R., Whistlecraft, J.W. and Harris, C.R.",1985,"An improved rearing procedure for the carrot rust fly (Diptera: Psilidae) with observations on life history and conditions controlling diapause induction and termination.","Canadian Entomologist","117","1017-1024","Canada Ontario","",2.5,-85.3232139,51.253775
"809","Psila rosae","Diptera","Psilidae","Psila","rosae",1.2,NA,1121.4,NA,"","4",3.1,NA,"","","","",-1,NA,NA,"102.7",598.6,"","","","","",363.5,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Stevenson, A. B.",1981,"Development of the carrot rust fly, Psila rosae (Diptera: Psilidae), relative to temperature in the laboratory","Canadian Entomologist","113"," 569-574","Canada Ontario","",1.2,-85.3232139,51.253775
"812","Parasarcophaga knabi","Diptera","Sarcophagidae","Parasarcophaga","knabi",10.1,NA,339.8,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Woolcock L.T.",1975,"Observations on the dung breeding fly, Parasarcophaga knabi Parker.","Journal of the Australian Entomological Society","14","71-75","Australia Canberra","",10.1,149.124417,-35.3075
"817","Scatophaga steroraria","Diptera","Scathophagidae ","Scatophaga","steroraria",1.69,NA,451.03,NA,"","",NA,NA,"","","","",NA,NA,NA,"",NA,"","","","","",NA,NA,NA,"",NA,NA,NA,NA,NA,"","",NA,"","Blanckenhorn, W.U. and Henseler, C.",2005,"Temperature-dependent ovariole and testis maturation in the yellow dung fly.","Entomologia Experimentalis et Applicata","116","259-165","Switzerland 47¯N","",1.69,149.124417,-35.3075
